Plot,Genotype,Random_field_no,environment
1,PI594301,3,M2
2,LD-07-3395bf,23,M2
3,SA1730464,18,M2
4,PI154189,14,M2
5,PI594451,2,M2
6,PI154189,14,M2
7,LD-07-3395bf,23,M2
8,PI594301,3,M2
9,PI84987,5,M2
10,SA1730464,18,M2
11,PI561389B,10,M2
12,PI594451,2,M2
13,PI6548362,8,M2
14,SA1730464,18,M2
15,PI605765B,11,M2
16,PI507480,1,M2
17,PI603426 G,4,M2
18,PI507480,1,M2
19,PI378684A,13,M2
20,PI154189,14,M2
21,LG15-1913-86,22,M2
22,PI506942,16,M2
23,CR164386,21,M2
24,PI437505,15,M2
25,HM17-12161,19,M2
26,PI84631,6,M2
27,PI603426G,4,M2
28,PI561389B,10,M2
29,PI437505,15,M2
30,PI84631,6,M2
31,E19517GT,24,M2
32,PI567408,17,M2
33,SA1811280,25,M2
34,PI506942,16,M2
35,PI567780B,12,M2
36,PI378684A,13,M2
37,CR16-0042,20,M2
38,PI506942,16,M2
39,HM17-12161,19,M2
40,PI407708A,7,M2
41,PI605765B,11,M2
42,PI84631,6,M2
43,LG15-1913-86,22,M2
44,PI84987,5,M2
45,PI594301,3,M2
46,SA1811280,25,M2
47,LG15-1913-86,22,M2
48,PI605765B,11,M2
49,PI437505,15,M2
50,PI507480,1,M2
51,PI84987,5,M2
52,CR164386,21,M2
53,PI6548362,8,M2
54,PI567408,17,M2
55,PI567408,17,M2
56,CR164386,21,M2
57,PI594451,2,M2
58,PI39528B,9,M2
59,HM17-12161,19,M2
60,CR16-0042,20,M2
61,PI39528B,9,M2
62,E19517GT,24,M2
63,PI561389B,10,M2
64,PI567780B,12,M2
65,PI407708A,7,M2
66,PI39528B,9,M2
67,PI567780B,12,M2
68,PI603426G,4,M2
69,PI378684A,13,M2
70,PI407708A,7,M2
71,CR16-0042,20,M2
72,SA1811280,25,M2
73,E19517GT,24,M2
74,LD-07-3395bf,23,M2
75,PI6548362,8,M2
